id,nombre,nacionalidad,equipo_id
Fernando_Alonso,Fernando Alonso,España,Renault
Lance_Stroll,Lance Stroll,Canada,Aston_Martin
Charles_Leclerc,Charles Leclerc,Monaco,Ferrari
Lewis_Hamilton,Lewis Hamilton,Reino Unido,Ferrari
Lando_Norris,Lando Norris,Reino Unido,McLaren
Oscar_Piastri,Oscar Piastri,Australia,McLaren
Max_Verstapen,Max Verstapen,Países Bajos,Red_Bull
Sergio_Perez,Sergio Perez,México,Red_Bull
George_Russell,George Russell,Reino Unido,Mercedes
Kimi_Antonelli,Andrea Kimi Antonelli,Italia,Mercedes
